"REF_DATE","GEO","DGUID","Demographic characteristics","Sex","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674403","13.20.2.1.6","48300","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Number of persons","Number","223","thousands","3","v1529674404","13.20.2.2.1","1247","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Percentage with income","Percent","239","units","0","v1529674405","13.20.2.2.2","98.0","A","","","1"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529674406","13.20.2.2.3","63100","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529674407","13.20.2.2.4","64400","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529674408","13.20.2.2.5","49000","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674409","13.20.2.2.6","49600","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529674410","13.20.2.3.1","1247","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529674411","13.20.2.3.2","98.1","A","","","1"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529674412","13.20.2.3.3","52900","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529674413","13.20.2.3.4","54000","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529674414","13.20.2.3.5","44200","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674415","13.20.2.3.6","45100","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Number of persons","Number","223","thousands","3","v1529674416","13.20.3.1.1","1222","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Percentage with income","Percent","239","units","0","v1529674417","13.20.3.1.2","88.2","A","","","1"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529674418","13.20.3.1.3","36400","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529674419","13.20.3.1.4","41300","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529674420","13.20.3.1.5","24500","C","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674421","13.20.3.1.6","31000","C","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Number of persons","Number","223","thousands","3","v1529674422","13.20.3.2.1","1222","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Percentage with income","Percent","239","units","0","v1529674423","13.20.3.2.2","98.0","A","","","1"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529674424","13.20.3.2.3","44100","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529674425","13.20.3.2.4","45000","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529674426","13.20.3.2.5","35400","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674427","13.20.3.2.6","36200","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529674428","13.20.3.3.1","1222","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529674429","13.20.3.3.2","98.0","A","","","1"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529674430","13.20.3.3.3","39000","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529674431","13.20.3.3.4","39800","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529674432","13.20.3.3.5","33300","B","","","0"
"2016","British Columbia","2021A000259","Persons born in Canada","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529674433","13.20.3.3.6","33800","B","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529660394","1.1.1.1.1","29601","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529660395","1.1.1.1.2","87.2","A","","","1"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529660396","1.1.1.1.3","47800","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660397","1.1.1.1.4","54800","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529660398","1.1.1.1.5","31700","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660399","1.1.1.1.6","39800","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529660400","1.1.1.2.1","29601","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529660401","1.1.1.2.2","97.7","A","","","1"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529660402","1.1.1.2.3","55000","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660403","1.1.1.2.4","56300","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529660404","1.1.1.2.5","41000","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660405","1.1.1.2.6","42200","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529660406","1.1.1.3.1","29601","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529660407","1.1.1.3.2","97.8","A","","","1"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529660408","1.1.1.3.3","46100","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660409","1.1.1.3.4","47100","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529660410","1.1.1.3.5","37500","A","","","0"
"2017","Canada","2021A000011124","All persons","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660411","1.1.1.3.6","38500","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Market income","Number of persons","Number","223","thousands","3","v1529660412","1.1.2.1.1","14594","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Market income","Percentage with income","Percent","239","units","0","v1529660413","1.1.2.1.2","89.7","A","","","1"
"2017","Canada","2021A000011124","All persons","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529660414","1.1.2.1.3","58800","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660415","1.1.2.1.4","65600","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Market income","Median income","2023 constant dollars","449","units","0","v1529660416","1.1.2.1.5","42200","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660417","1.1.2.1.6","49000","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Total income","Number of persons","Number","223","thousands","3","v1529660418","1.1.2.2.1","14594","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Total income","Percentage with income","Percent","239","units","0","v1529660419","1.1.2.2.2","98.0","A","","","1"
"2017","Canada","2021A000011124","All persons","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529660420","1.1.2.2.3","64800","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660421","1.1.2.2.4","66100","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529660422","1.1.2.2.5","49300","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660423","1.1.2.2.6","50300","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529660424","1.1.2.3.1","14594","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529660425","1.1.2.3.2","98.0","A","","","1"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529660426","1.1.2.3.3","52900","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660427","1.1.2.3.4","54000","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529660428","1.1.2.3.5","44000","A","","","0"
"2017","Canada","2021A000011124","All persons","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660429","1.1.2.3.6","44900","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Market income","Number of persons","Number","223","thousands","3","v1529660430","1.1.3.1.1","15007","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Market income","Percentage with income","Percent","239","units","0","v1529660431","1.1.3.1.2","84.8","A","","","1"
"2017","Canada","2021A000011124","All persons","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529660432","1.1.3.1.3","37100","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660433","1.1.3.1.4","43800","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529660434","1.1.3.1.5","23800","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660435","1.1.3.1.6","31400","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Total income","Number of persons","Number","223","thousands","3","v1529660436","1.1.3.2.1","15007","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Total income","Percentage with income","Percent","239","units","0","v1529660437","1.1.3.2.2","97.5","A","","","1"
"2017","Canada","2021A000011124","All persons","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529660438","1.1.3.2.3","45600","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660439","1.1.3.2.4","46700","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529660440","1.1.3.2.5","34400","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660441","1.1.3.2.6","35600","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529660442","1.1.3.3.1","15007","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529660443","1.1.3.3.2","97.7","A","","","1"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529660444","1.1.3.3.3","39400","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660445","1.1.3.3.4","40300","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529660446","1.1.3.3.5","32100","A","","","0"
"2017","Canada","2021A000011124","All persons","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660447","1.1.3.3.6","33100","A","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529660988","1.12.1.1.1","828","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529660989","1.12.1.1.2","77.2","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529660990","1.12.1.1.3","35600","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660991","1.12.1.1.4","46100","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529660992","1.12.1.1.5","19500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660993","1.12.1.1.6","30800","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529660994","1.12.1.2.1","828","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529660995","1.12.1.2.2","96.0","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529660996","1.12.1.2.3","43600","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660997","1.12.1.2.4","45400","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529660998","1.12.1.2.5","29900","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660999","1.12.1.2.6","31400","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529661000","1.12.1.3.1","828","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529661001","1.12.1.3.2","96.0","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661002","1.12.1.3.3","37600","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661003","1.12.1.3.4","39200","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661004","1.12.1.3.5","28800","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661005","1.12.1.3.6","30400","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Number of persons","Number","223","thousands","3","v1529661006","1.12.2.1.1","378","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Percentage with income","Percent","239","units","0","v1529661007","1.12.2.1.2","79.4","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529661008","1.12.2.1.3","45300","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661009","1.12.2.1.4","57000","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Median income","2023 constant dollars","449","units","0","v1529661010","1.12.2.1.5","27200","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661011","1.12.2.1.6","43000","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Number of persons","Number","223","thousands","3","v1529661012","1.12.2.2.1","378","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Percentage with income","Percent","239","units","0","v1529661013","1.12.2.2.2","95.1","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529661014","1.12.2.2.3","51800","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661015","1.12.2.2.4","54500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529661016","1.12.2.2.5","37000","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661017","1.12.2.2.6","39700","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529661018","1.12.2.3.1","378","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529661019","1.12.2.3.2","95.1","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661020","1.12.2.3.3","43500","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661021","1.12.2.3.4","45800","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661022","1.12.2.3.5","34500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661023","1.12.2.3.6","36900","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Number of persons","Number","223","thousands","3","v1529661024","1.12.3.1.1","450","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Percentage with income","Percent","239","units","0","v1529661025","1.12.3.1.2","75.4","B","","","1"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529661026","1.12.3.1.3","27500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661027","1.12.3.1.4","36500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529661028","1.12.3.1.5","13600","D","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661029","1.12.3.1.6","25400","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Number of persons","Number","223","thousands","3","v1529661030","1.12.3.2.1","450","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Percentage with income","Percent","239","units","0","v1529661031","1.12.3.2.2","96.7","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529661032","1.12.3.2.3","36700","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661033","1.12.3.2.4","38000","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529661034","1.12.3.2.5","26800","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661035","1.12.3.2.6","27500","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529661036","1.12.3.3.1","450","C","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529661037","1.12.3.3.2","96.8","A","","","1"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661038","1.12.3.3.3","32600","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661039","1.12.3.3.4","33700","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661040","1.12.3.3.5","25900","B","","","0"
"2017","Canada","2021A000011124","Indigenous population","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661041","1.12.3.3.6","26900","B","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529661042","1.13.1.1.1","419","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529661043","1.13.1.1.2","71.8","B","","","1"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529661044","1.13.1.1.3","32100","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661045","1.13.1.1.4","44600","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529661046","1.13.1.1.5","14600","D","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661047","1.13.1.1.6","28600","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529661048","1.13.1.2.1","419","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529661049","1.13.1.2.2","94.4","A","","","1"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529661050","1.13.1.2.3","40100","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661051","1.13.1.2.4","42500","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529661052","1.13.1.2.5","26500","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661053","1.13.1.2.6","28100","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529661054","1.13.1.3.1","419","C","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529661055","1.13.1.3.2","94.5","A","","","1"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661056","1.13.1.3.3","34600","B","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661057","1.13.1.3.4","36600","B","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661058","1.13.1.3.5","25600","B","","","0"
"2017","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661059","1.13.1.3.6","27300","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Number of persons","Number","223","thousands","3","v1529661060","1.13.2.1.1","193","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Percentage with income","Percent","239","units","0","v1529661061","1.13.2.1.2","74.4","B","","","1"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529661062","1.13.2.1.3","39700","D","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661063","1.13.2.1.4","53400","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Median income","2023 constant dollars","449","units","0","v1529661064","1.13.2.1.5","20800","D","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661065","1.13.2.1.6","32500","D","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Number of persons","Number","223","thousands","3","v1529661066","1.13.2.2.1","193","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Percentage with income","Percent","239","units","0","v1529661067","1.13.2.2.2","94.0","A","","","1"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529661068","1.13.2.2.3","45700","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661069","1.13.2.2.4","48600","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529661070","1.13.2.2.5","27900","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661071","1.13.2.2.6","29700","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529661072","1.13.2.3.1","193","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529661073","1.13.2.3.2","94.0","A","","","1"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661074","1.13.2.3.3","38400","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661075","1.13.2.3.4","40900","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661076","1.13.2.3.5","27300","C","","","0"
"2017","Canada","2021A000011124","First Nations","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661077","1.13.2.3.6","28400","C","","","0"
"2017","Canada","2021A000011124","First Nations","Females","Market income","Number of persons","Number","223","thousands","3","v1529661078","1.13.3.1.1","226","C","","","0"
"2017","Canada","2021A000011124","First Nations","Females","Market income","Percentage with income","Percent","239","units","0","v1529661079","1.13.3.1.2","69.6","B","","","1"
"2017","Canada","2021A000011124","First Nations","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529661080","1.13.3.1.3","25500","D","","","0"
"2017","Canada","2021A000011124","First Nations","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661081","1.13.3.1.4","36600","D","","","0"
"2017","Canada","2021A000011124","First Nations","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529661082","1.13.3.1.5","10900","E","","","0"
