"REF_DATE","GEO","DGUID","Demographic characteristics","Sex","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","All persons","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660429","1.1.2.3.6","44200","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Market income","Number of persons","Number","223","thousands","3","v1529660430","1.1.3.1.1","14238","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Market income","Percentage with income","Percent","239","units","0","v1529660431","1.1.3.1.2","84.9","A","","","1"
"2012","Canada","2021A000011124","All persons","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529660432","1.1.3.1.3","34700","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660433","1.1.3.1.4","40900","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529660434","1.1.3.1.5","21700","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660435","1.1.3.1.6","29200","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Total income","Number of persons","Number","223","thousands","3","v1529660436","1.1.3.2.1","14238","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Total income","Percentage with income","Percent","239","units","0","v1529660437","1.1.3.2.2","97.1","A","","","1"
"2012","Canada","2021A000011124","All persons","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529660438","1.1.3.2.3","41800","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660439","1.1.3.2.4","43100","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529660440","1.1.3.2.5","31200","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660441","1.1.3.2.6","32300","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529660442","1.1.3.3.1","14238","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529660443","1.1.3.3.2","97.5","A","","","1"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529660444","1.1.3.3.3","36300","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660445","1.1.3.3.4","37200","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529660446","1.1.3.3.5","29600","A","","","0"
"2012","Canada","2021A000011124","All persons","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660447","1.1.3.3.6","30300","A","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529660988","1.12.1.1.1","660","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529660989","1.12.1.1.2","76.4","B","","","1"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529660990","1.12.1.1.3","33600","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660991","1.12.1.1.4","44000","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529660992","1.12.1.1.5","16000","D","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660993","1.12.1.1.6","31800","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529660994","1.12.1.2.1","660","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529660995","1.12.1.2.2","96.6","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529660996","1.12.1.2.3","40600","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660997","1.12.1.2.4","42000","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529660998","1.12.1.2.5","28000","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660999","1.12.1.2.6","30100","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529661000","1.12.1.3.1","660","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529661001","1.12.1.3.2","96.8","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661002","1.12.1.3.3","35100","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661003","1.12.1.3.4","36300","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661004","1.12.1.3.5","27000","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661005","1.12.1.3.6","28200","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Number of persons","Number","223","thousands","3","v1529661006","1.12.2.1.1","315","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Percentage with income","Percent","239","units","0","v1529661007","1.12.2.1.2","82.8","B","","","1"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529661008","1.12.2.1.3","46100","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661009","1.12.2.1.4","55700","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Median income","2023 constant dollars","449","units","0","v1529661010","1.12.2.1.5","31800","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661011","1.12.2.1.6","41800","D","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Number of persons","Number","223","thousands","3","v1529661012","1.12.2.2.1","315","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Percentage with income","Percent","239","units","0","v1529661013","1.12.2.2.2","97.0","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529661014","1.12.2.2.3","51500","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661015","1.12.2.2.4","53100","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529661016","1.12.2.2.5","37000","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661017","1.12.2.2.6","38400","D","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529661018","1.12.2.3.1","315","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529661019","1.12.2.3.2","97.1","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661020","1.12.2.3.3","43100","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661021","1.12.2.3.4","44400","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661022","1.12.2.3.5","33400","D","","","0"
"2012","Canada","2021A000011124","Indigenous population","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661023","1.12.2.3.6","35700","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Number of persons","Number","223","thousands","3","v1529661024","1.12.3.1.1","345","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Percentage with income","Percent","239","units","0","v1529661025","1.12.3.1.2","70.5","B","","","1"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529661026","1.12.3.1.3","22200","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661027","1.12.3.1.4","31500","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529661028","1.12.3.1.5","7900","E","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661029","1.12.3.1.6","21100","D","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Number of persons","Number","223","thousands","3","v1529661030","1.12.3.2.1","345","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Percentage with income","Percent","239","units","0","v1529661031","1.12.3.2.2","96.3","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529661032","1.12.3.2.3","30700","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661033","1.12.3.2.4","31900","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529661034","1.12.3.2.5","22800","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661035","1.12.3.2.6","23900","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529661036","1.12.3.3.1","345","C","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529661037","1.12.3.3.2","96.5","A","","","1"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661038","1.12.3.3.3","27800","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661039","1.12.3.3.4","28900","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661040","1.12.3.3.5","22500","B","","","0"
"2012","Canada","2021A000011124","Indigenous population","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661041","1.12.3.3.6","23000","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529661042","1.13.1.1.1","349","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529661043","1.13.1.1.2","73.0","B","","","1"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529661044","1.13.1.1.3","28200","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661045","1.13.1.1.4","38600","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529661046","1.13.1.1.5","11300","D","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661047","1.13.1.1.6","26400","D","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529661048","1.13.1.2.1","349","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529661049","1.13.1.2.2","96.0","A","","","1"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529661050","1.13.1.2.3","35200","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661051","1.13.1.2.4","36700","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529661052","1.13.1.2.5","23100","D","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661053","1.13.1.2.6","24900","D","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529661054","1.13.1.3.1","349","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529661055","1.13.1.3.2","96.3","A","","","1"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661056","1.13.1.3.3","31000","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661057","1.13.1.3.4","32200","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661058","1.13.1.3.5","22700","C","","","0"
"2012","Canada","2021A000011124","First Nations","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661059","1.13.1.3.6","24400","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Number of persons","Number","223","thousands","3","v1529661060","1.13.2.1.1","161","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Percentage with income","Percent","239","units","0","v1529661061","1.13.2.1.2","81.3","B","","","1"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529661062","1.13.2.1.3","39600","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661063","1.13.2.1.4","48800","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Median income","2023 constant dollars","449","units","0","v1529661064","1.13.2.1.5","24200","E","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661065","1.13.2.1.6","35200","D","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Number of persons","Number","223","thousands","3","v1529661066","1.13.2.2.1","161","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Percentage with income","Percent","239","units","0","v1529661067","1.13.2.2.2","95.5","A","","","1"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Average income","2023 constant dollars","449","units","0","v1529661068","1.13.2.2.3","45000","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661069","1.13.2.2.4","47100","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Median income","2023 constant dollars","449","units","0","v1529661070","1.13.2.2.5","31500","D","","","0"
"2012","Canada","2021A000011124","First Nations","Males","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661071","1.13.2.2.6","34000","D","","","0"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Number of persons","Number","223","thousands","3","v1529661072","1.13.2.3.1","161","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Percentage with income","Percent","239","units","0","v1529661073","1.13.2.3.2","95.7","A","","","1"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661074","1.13.2.3.3","38200","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661075","1.13.2.3.4","40000","C","","","0"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661076","1.13.2.3.5","30100","D","","","0"
"2012","Canada","2021A000011124","First Nations","Males","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661077","1.13.2.3.6","31400","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Number of persons","Number","223","thousands","3","v1529661078","1.13.3.1.1","188","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Percentage with income","Percent","239","units","0","v1529661079","1.13.3.1.2","65.9","C","","","1"
